Asset groups report
"October 1, 2016 - September 16, 2026"
Asset group status,Asset Group,Campaign,Headlines,Long Headlines,Descriptions,Marketing Images,Square Marketing Images,Portrait Marketing Images,Ad Strength,Status,Audience signal,Search themes,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
ENABLED,Calculadora,pmaxcomprasa360br2_gg_pm_bg_lc_ao_wb_re_vr_pf,"Viva Real, O seu novo lar está aqui., Imóveis que cabem no seu bolso, Calcule seu financiamento, Imóveis à venda, Casas e aptos no Viva Real, Apto na Planta - Viva Real, Comprar Imóveis, Em busca da casa própria?, Encontre o imóvel ideal, Ficou fácil achar o seu imóvel","Calculadora pra descobrir o valor que vai financia? Faça simulação no Viva Real., Encontre o lar dos seus sonhos, simule o financiamento e veja quanto vai pagar por mês.","Imóveis à venda, com um valor que você pode pagar., O lar que você sonha está aqui. Imóveis com 2, 3 quartos, vaga de garagem e varanda., Calcule o seu orçamento e encontre o imóvel dos seus sonhos com facilidade. Confira., A casa própria é uma realidade. Seu novo lar está aqui, com opções que cabem no seu bolso., Financie seu apto. Busque seu imóvel ideal no Zap.","https://tpc.googlesyndication.com/simgad/11820976233975626674, https://tpc.googlesyndication.com/simgad/998368409203335843, https://tpc.googlesyndication.com/simgad/2200287692505305543, https://tpc.googlesyndication.com/simgad/11096089070483452513, https://tpc.googlesyndication.com/simgad/17794473526630631018, https://tpc.googlesyndication.com/simgad/1346470709948479750, https://tpc.googlesyndication.com/simgad/16602915261494846501, https://tpc.googlesyndication.com/simgad/16665125078314298222","https://tpc.googlesyndication.com/simgad/5778050754852788363, https://tpc.googlesyndication.com/simgad/17019873136654754889, https://tpc.googlesyndication.com/simgad/2151899129286534688, https://tpc.googlesyndication.com/simgad/9139933849441525948, https://tpc.googlesyndication.com/simgad/1044067087619718414, https://tpc.googlesyndication.com/simgad/6919030492629000273, https://tpc.googlesyndication.com/simgad/15981472103054138794, https://tpc.googlesyndication.com/simgad/18420140369925686843, https://tpc.googlesyndication.com/simgad/15744494545453999604","https://tpc.googlesyndication.com/simgad/8922337375549905483, https://tpc.googlesyndication.com/simgad/9499853721350226271, https://tpc.googlesyndication.com/simgad/3134248711195783727",Good,Not eligible,Viva Real | Compra,"Financiamento imobiliário facilitado, Simulador de financiamento de imóvel, Calculadora de financiamento imobiliário, Simule seu financiamento de imóvel, Simulação de parcelas de financiamento, Simulador de parcelas de imóvel, Financiamento de imóvel simulação online, Calculadora de financiamento para casa, Simulação de financiamento de apartamento, Simulador de financiamento com taxa de juros, Calculadora para calcular financiamento de casa própria",BRL,29.97,"739,178","136,790",18.51%,0.16,22152.08,27.98%,"38,267.36",0.58
ENABLED,Calculadora,pmaxcomprasa360sp_gg_pc_bg_lc_ao_wb_re_vr_pf,"Viva Real, O seu novo lar está aqui., Imóveis que cabem no seu bolso, Calcule seu financiamento, Imóveis à venda, Casas e aptos no Viva Real, Apto na Planta - Viva Real, Comprar Imóveis, Em busca da casa própria?, Encontre o imóvel ideal, Ficou fácil achar o seu imóvel","Calculadora pra descobrir o valor que vai financia? Faça simulação no Viva Real., Encontre o lar dos seus sonhos, simule o financiamento e veja quanto vai pagar por mês.","Imóveis à venda, com um valor que você pode pagar., O lar que você sonha está aqui. Imóveis com 2, 3 quartos, vaga de garagem e varanda., Calcule o seu orçamento e encontre o imóvel dos seus sonhos com facilidade. Confira., A casa própria é uma realidade. Seu novo lar está aqui, com opções que cabem no seu bolso., Financie seu apto. Busque seu imóvel ideal no Zap.","https://tpc.googlesyndication.com/simgad/11820976233975626674, https://tpc.googlesyndication.com/simgad/998368409203335843, https://tpc.googlesyndication.com/simgad/2200287692505305543, https://tpc.googlesyndication.com/simgad/11096089070483452513, https://tpc.googlesyndication.com/simgad/17794473526630631018, https://tpc.googlesyndication.com/simgad/1346470709948479750, https://tpc.googlesyndication.com/simgad/16602915261494846501, https://tpc.googlesyndication.com/simgad/16665125078314298222","https://tpc.googlesyndication.com/simgad/5778050754852788363, https://tpc.googlesyndication.com/simgad/17019873136654754889, https://tpc.googlesyndication.com/simgad/2151899129286534688, https://tpc.googlesyndication.com/simgad/9139933849441525948, https://tpc.googlesyndication.com/simgad/1044067087619718414, https://tpc.googlesyndication.com/simgad/6919030492629000273, https://tpc.googlesyndication.com/simgad/15981472103054138794, https://tpc.googlesyndication.com/simgad/18420140369925686843, https://tpc.googlesyndication.com/simgad/15744494545453999604","https://tpc.googlesyndication.com/simgad/8922337375549905483, https://tpc.googlesyndication.com/simgad/9499853721350226271, https://tpc.googlesyndication.com/simgad/3134248711195783727",Good,Not eligible,Viva Real | Compra | SP,"Financiamento imobiliário facilitado, Simulador de financiamento de imóvel, Calculadora de financiamento imobiliário, Simule seu financiamento de imóvel, Simulação de parcelas de financiamento, Simulador de parcelas de imóvel, Financiamento de imóvel simulação online, Calculadora de financiamento para casa, Simulação de financiamento de apartamento, Simulador de financiamento com taxa de juros, Calculadora para calcular financiamento de casa própria",BRL,25.70,"295,278","49,453",16.75%,0.15,7589.68,25.79%,"12,751.80",0.60
ENABLED,Calculadora,pmaxcomprasa360br_gg_pm_bg_lc_ao_wb_re_vr_pf,"Viva Real, O seu novo lar está aqui., Imóveis que cabem no seu bolso, Calcule seu financiamento, Imóveis à venda, Casas e aptos no Viva Real, Apto na Planta - Viva Real, Comprar Imóveis, Em busca da casa própria?, Encontre o imóvel ideal, Ficou fácil achar o seu imóvel","Calculadora pra descobrir o valor que vai financia? Faça simulação no Viva Real., Encontre o lar dos seus sonhos, simule o financiamento e veja quanto vai pagar por mês.","Imóveis à venda, com um valor que você pode pagar., O lar que você sonha está aqui. Imóveis com 2, 3 quartos, vaga de garagem e varanda., Calcule o seu orçamento e encontre o imóvel dos seus sonhos com facilidade. Confira., A casa própria é uma realidade. Seu novo lar está aqui, com opções que cabem no seu bolso., Financie seu apto. Busque seu imóvel ideal no Viva Real.","https://tpc.googlesyndication.com/simgad/11820976233975626674, https://tpc.googlesyndication.com/simgad/998368409203335843, https://tpc.googlesyndication.com/simgad/2200287692505305543, https://tpc.googlesyndication.com/simgad/11096089070483452513, https://tpc.googlesyndication.com/simgad/17794473526630631018, https://tpc.googlesyndication.com/simgad/1346470709948479750, https://tpc.googlesyndication.com/simgad/16602915261494846501, https://tpc.googlesyndication.com/simgad/16665125078314298222","https://tpc.googlesyndication.com/simgad/5778050754852788363, https://tpc.googlesyndication.com/simgad/17019873136654754889, https://tpc.googlesyndication.com/simgad/2151899129286534688, https://tpc.googlesyndication.com/simgad/9139933849441525948, https://tpc.googlesyndication.com/simgad/1044067087619718414, https://tpc.googlesyndication.com/simgad/6919030492629000273, https://tpc.googlesyndication.com/simgad/15981472103054138794, https://tpc.googlesyndication.com/simgad/18420140369925686843, https://tpc.googlesyndication.com/simgad/15744494545453999604","https://tpc.googlesyndication.com/simgad/8922337375549905483, https://tpc.googlesyndication.com/simgad/9499853721350226271, https://tpc.googlesyndication.com/simgad/3134248711195783727",Excellent,Eligible,Viva Real | Compra, --,BRL,28.30,"14,693,614","2,719,289",18.51%,0.15,415834.19,9.15%,"248,756.28",1.67
ENABLED,Pronto pra Morar | Jun/23,pmaxcomprasa360g3_gg_pm_bg_lc_ao_wb_re_vr_pf,"Viva Real, O seu novo lar no Viva Real, Imóveis prontos pra morar, Encontre o seu novo lar, Casas e aptos em lançamento, Comprar Imóveis, O imóvel ideal | Viva Real, Viva o sonho de um novo lar., Casas e Apartamentos à venda, Ficou fácil achar o seu imóvel, Encontre o imóvel ideal","Imóveis com o preço que você busca e na localização que você quer. Encontre seu novo lar., Casas e aptos à venda prontinhos pra morar. Encontre agora o imóvel dos seus sonhos.","Encontre o seu cantinho, pronto para morar. Confira, Viva Real tem opções à venda na sua região. Apartamentos de 3 quartos, varanda e mais., Seu cantinho dos sonhos pronto para morar. Veja as opções que cabe no seu bolso., Imóveis na localização que você quer morar. Lançamentos com piscina, mobiliados e mais., Acesse o VIva Real. Escolha onde deseja morar e o valor que quer pagar. Encontre agora.","https://tpc.googlesyndication.com/simgad/2634309755788307739, https://tpc.googlesyndication.com/simgad/16862940354752449847, https://tpc.googlesyndication.com/simgad/17397282489954422950, https://tpc.googlesyndication.com/simgad/13436964591134872062, https://tpc.googlesyndication.com/simgad/8838867550111578742","https://tpc.googlesyndication.com/simgad/6437969989306634279, https://tpc.googlesyndication.com/simgad/17317693421261984494, https://tpc.googlesyndication.com/simgad/1387409353508412266, https://tpc.googlesyndication.com/simgad/5835625140946322020, https://tpc.googlesyndication.com/simgad/13007871695103693049",https://tpc.googlesyndication.com/simgad/11514404792294841883,Average,Not eligible,Viva Real | Compra,"Apartamento pronto para morar, Casa pronta para morar, Comprar imóvel pronto para morar, Imóveis prontos para venda, Imóvel disponível para mudança imediata, Comprar imóvel sem obra, Imóveis prontos para ocupação, Comprar casa pronta, Oportunidade de comprar imóvel pronto, Comprar apartamento já finalizado, Imóvel pronto para mudança, Comprar imóvel sem reforma, Imóveis prontos para residência, Imóveis para venda prontos para entrar, Comprar casa pronta e mobiliada",BRL,29.84,"51,723","16,137",31.20%,0.10,1543.17,6.01%,969.90,1.59
PAUSED,Festival da Mudança | Jul26,pmaxaluguelsa360br_gg_pm_bg_la_ao_wb_re_vr_pf,"Viva Real, Viva Real tem seu próximo lar, Casa nova é no Viva Real, Aluguel é no Viva Real, Festival da Mudança, Melhores imóveis aqui, Aluguel pra todos os bolsos, Casas, Apartamentos e Kitnets, Aluguel de casas e aptos, Oferta de imóveis para alugar, Casa pra alugar com piscina, Festival da Mudança Viva Real, Melhores imóveis no Festival, O Imóvel ideal no Festival, Novo lar no Festival","No Viva Real você encontra o imóvel dos sonhos. Veja suas opções aqui, Quer alugar, sem fiador? O Festival da Mudança do Viva Real tem várias opções., Aqui no Festival você encontra seu novo lar. São milhares de imóveis disponíveis., O endereço dos seus sonhos está aqui no Festival da Mudança. Veja os imóveis disponíveis, O imóvel perfeito para a sua rotina você encontra aqui, no Festival da Mudança.","No Viva Real tem imóveis de todos os tamanhos pra você., À procura do lar dos sonhos? Use nossos filtros e encontre o imóvel perfeito para você., Encontre o lar perfeito para você aqui no Festival da Mudança. Veja os imóveis disponíveis, Só no Festival da Mudança você encontra seu imóvel dos sonhos em poucos cliques., Use nossos filtros e encontre rápido o lar perfeito para você. Veja os imóveis disponíveis","https://tpc.googlesyndication.com/simgad/10241659051992737489, https://tpc.googlesyndication.com/simgad/17009495629660600585, https://tpc.googlesyndication.com/simgad/7286802982056242092","https://tpc.googlesyndication.com/simgad/7886162365464665826, https://tpc.googlesyndication.com/simgad/6580698489080031784, https://tpc.googlesyndication.com/simgad/8032300669961592351","https://tpc.googlesyndication.com/simgad/9559560468214106886, https://tpc.googlesyndication.com/simgad/3644475838141479925, https://tpc.googlesyndication.com/simgad/7004850575275537622",Good,Paused,Viva Real | Aluguel,"alugar apartamento, alugar casa, aluguel casa, aluguel perto de mim, aluguel de casa perto de mim, aluguel de apartamento perto de mim, aluguel apartametno",BRL,5.02,"62,898","3,313",5.27%,0.10,315.88,2.83%,93.68,3.37
ENABLED,Na Planta | Jun/23,pmaxcomprasa360scpr_gg_pm_bg_lc_ao_wb_re_vr_pf,"Viva Real, Encontre o lar dos sonhos, Imóveis na planta, Em busca da casa própria?, Casas e aptos dos sonhos, Apto na Planta - Viva Real, Invista em imóveis na planta, Garanta seu imóvel na planta, Adquira seu imóvel na planta, Compre seu lar na planta","Procurando o apê dos sonhos na planta? Encontre agora. Acesse o site ou Baixe o App, Diga adeus ao aluguel e encontre o imóvel que você sempre sonhou na planta.","No Viva Real, temos o imóvel que combina com seus sonhos., Casas, aptos, kitnets e outros imóveis na localização ideal pra você. Acesse o Viva Real., Casa própria? Temos. Lançamentos de imóveis que cabem no seu bolso., Para todos os tipos de sonhos, temos um imóvel na planta que cabe no seu bolso., Imóveis ainda na planta no seu bairro preferido. Faça sua busca, pesquise no Viva Real.","https://tpc.googlesyndication.com/simgad/1897285788156345558, https://tpc.googlesyndication.com/simgad/12746624380512667980, https://tpc.googlesyndication.com/simgad/3206976175861898736, https://tpc.googlesyndication.com/simgad/11419282559294702705, https://tpc.googlesyndication.com/simgad/4430325325475973815","https://tpc.googlesyndication.com/simgad/5995448752927922274, https://tpc.googlesyndication.com/simgad/12128438461744799815, https://tpc.googlesyndication.com/simgad/8037685120806785688, https://tpc.googlesyndication.com/simgad/3194301462966355353, https://tpc.googlesyndication.com/simgad/18184305845921101392","https://tpc.googlesyndication.com/simgad/13263440933677926235, https://tpc.googlesyndication.com/simgad/4073867752163112256",Good,Not eligible,Viva Real | Compra | SC/PR,"Lançamento imobiliário, Investir em imóvel na planta, Comprar imóvel na planta, Apartamento na planta à venda, Comprar imóvel novo na planta, Imóvel na planta com financiamento, Comprar casa na planta, Lançamento de apartamentos na planta, Oportunidade de comprar imóvel na planta",BRL,26.54,"130,425","25,737",19.73%,0.13,3461.81,18.12%,"4,663.57",0.74
ENABLED,Filtros,pmaxaluguelsa360rjmg_gg_pm_bg_la_ao_wb_re_vr_pf,"Viva Real, Viva Real tem seu próximo lar, Imóveis que aceitam pets, Alugue sua casa ideal, Casas e aptos no Viva Real, Casa nova é no Viva Real, Casas, Apartamentos e Kitnets, Aluguel de casas e aptos, Encontre seu lar com piscina","Imóveis que aceitam pets? No Viva Real você encontra opções pra todos os bolsos e gostos., Seu próximo lar já está pronto para receber seu pet. As melhores opções estão aqui.","Aluguel, encontre as melhores opções no Viva Real., Aluguel pra todos os bolsos. Confira ofertas na sua cidade., Quer alugar um apê? Descubra os melhores imóveis no Festival da Mudança do Viva Real., Imóvel para alugar na sua cidade. Opções de 1, 2 ou 3 quartos. Mobiliados e muito mais., O lugar que você quer morar está aqui. Casas e apartamentos que cabem nos seus sonhos.","https://tpc.googlesyndication.com/simgad/950290047948062086, https://tpc.googlesyndication.com/simgad/2180661312029254691, https://tpc.googlesyndication.com/simgad/16665125078314298222, https://tpc.googlesyndication.com/simgad/675451120362785519","https://tpc.googlesyndication.com/simgad/8941795832052149556, https://tpc.googlesyndication.com/simgad/2308013363491895828, https://tpc.googlesyndication.com/simgad/14257752446347288007, https://tpc.googlesyndication.com/simgad/8597059086854390155, https://tpc.googlesyndication.com/simgad/15744494545453999604","https://tpc.googlesyndication.com/simgad/9499853721350226271, https://tpc.googlesyndication.com/simgad/3134248711195783727",Good,Not eligible,Viva Real | Aluguel,"apartamento 2 quartos, apartamento mobiliado para alugar, casa com piscina para alugar, kitnet mobiliado, flat mobiliado, Studio mobiliado para alugar, apto mobiliado, apartamento mobiliado para aluguel",BRL,42.30,"253,784","60,263",23.75%,0.18,10735.49,28.98%,"17,463.24",0.61
PAUSED,Festival da Mudança | Fev/24,pmaxcomprasa360br_gg_pm_bg_lc_ao_wb_re_vr_pf,"Viva Real, Confira imóveis à venda, Casas e Apartamentos à venda, Casas e aptos no Viva Real, Imóveis com os melhores preços, Sua Casa Própria É Realidade, Compre seu apto ou casa nova, Festival da Mudança","Casas e aptos à venda. Festival da Mudança, a seleção exclusiva dos melhores imóveis., Imóveis com varanda e até com piscina. Tudo o que você precisa está no Viva Real","No Viva Real tem o imóvei certo pra você. Encontre já o seu., Milhares de imóveis, várias faixas de preço. Opções com vaga de garagem e churrasqueira., Procurando um novo lar? Casas e apartamentos à venda na sua cidade. Confira no Viva Real., Filtre por preço e encontre o que você pode pagar. Veja as opções do Festival da Mudança., Acesse o Viva Real. Imóveis à venda com os melhores preços e torne realidade o seu sonho.","https://tpc.googlesyndication.com/simgad/9835193673851486260, https://tpc.googlesyndication.com/simgad/14089853283072771235, https://tpc.googlesyndication.com/simgad/13150784439526999978, https://tpc.googlesyndication.com/simgad/16050798672311718555, https://tpc.googlesyndication.com/simgad/8504316862080249795","https://tpc.googlesyndication.com/simgad/3891160391039660740, https://tpc.googlesyndication.com/simgad/11406687593433523341, https://tpc.googlesyndication.com/simgad/6094326805926000808, https://tpc.googlesyndication.com/simgad/8679500707609181815, https://tpc.googlesyndication.com/simgad/5407966612323691488", --,Average,Paused,Viva Real | Compra, --,BRL,25.64,"761,150","127,587",16.76%,0.15,19518.15,9.26%,"11,815.81",1.65
ENABLED,Filtros | Jun/23,pmaxaluguelsa360br_gg_pm_bg_la_ao_wb_re_vr_pf,"Viva Real, Viva Real tem seu próximo lar, Imóveis que aceitam pets, Alugue sua casa ideal, Casas e aptos no Viva Real, Casa nova é no Viva Real, Casas, Apartamentos e Kitnets, Aluguel de casas e aptos, Encontre seu lar com piscina","Imóveis que aceitam pets? No Viva Real você encontra opções pra todos os bolsos e gostos., Seu próximo lar já está pronto para receber seu pet. As melhores opções estão aqui.","Aluguel, encontre as melhores opções no Viva Real., Aluguel pra todos os bolsos. Confira ofertas na sua cidade., Quer alugar um apê? Descubra os melhores imóveis no Festival da Mudança do Viva Real., Imóvel para alugar na sua cidade. Opções de 1, 2 ou 3 quartos. Mobiliados e muito mais., O lugar que você quer morar está aqui. Casas e apartamentos que cabem nos seus sonhos.","https://tpc.googlesyndication.com/simgad/950290047948062086, https://tpc.googlesyndication.com/simgad/2180661312029254691, https://tpc.googlesyndication.com/simgad/16665125078314298222, https://tpc.googlesyndication.com/simgad/675451120362785519","https://tpc.googlesyndication.com/simgad/8941795832052149556, https://tpc.googlesyndication.com/simgad/2308013363491895828, https://tpc.googlesyndication.com/simgad/14257752446347288007, https://tpc.googlesyndication.com/simgad/8597059086854390155, https://tpc.googlesyndication.com/simgad/15744494545453999604","https://tpc.googlesyndication.com/simgad/9499853721350226271, https://tpc.googlesyndication.com/simgad/3134248711195783727",Excellent,Eligible,Viva Real | Aluguel,"apartamento com varanda, apartamento com piscina, apartamento sem fiador, apartamento aceita pet, aluguel perto de mim",BRL,44.23,"30,394,218","7,235,785",23.81%,0.19,1344472.34,18.36%,"1,328,292.71",1.01
ENABLED,Na Planta | Jun/23,pmaxcomprasa360g3_gg_pm_bg_lc_ao_wb_re_vr_pf,"Viva Real, Encontre o lar dos sonhos, Imóveis na planta, Em busca da casa própria?, Casas e aptos dos sonhos, Apto na Planta - Viva Real","Procurando o apê dos sonhos na planta? Encontre agora. Acesse o site ou Baixe o App, Diga adeus ao aluguel e encontre o imóvel que você sempre sonhou na planta.","No Viva Real, temos o imóvel que combina com seus sonhos., Casas, aptos, kitnets e outros imóveis na localização ideal pra você. Acesse o Viva Real., Casa própria? Temos. Lançamentos de imóveis que cabem no seu bolso., Para todos os tipos de sonhos, temos um imóvel na planta que cabe no seu bolso., Imóveis ainda na planta no seu bairro preferido. Faça sua busca, pesquise no Viva Real.","https://tpc.googlesyndication.com/simgad/1897285788156345558, https://tpc.googlesyndication.com/simgad/12746624380512667980, https://tpc.googlesyndication.com/simgad/3206976175861898736, https://tpc.googlesyndication.com/simgad/11419282559294702705, https://tpc.googlesyndication.com/simgad/4430325325475973815","https://tpc.googlesyndication.com/simgad/5995448752927922274, https://tpc.googlesyndication.com/simgad/12128438461744799815, https://tpc.googlesyndication.com/simgad/8037685120806785688, https://tpc.googlesyndication.com/simgad/3194301462966355353, https://tpc.googlesyndication.com/simgad/18184305845921101392",https://tpc.googlesyndication.com/simgad/13263440933677926235,Average,Not eligible,Viva Real | Compra,"Lançamento imobiliário, Investir em imóvel na planta, Comprar imóvel na planta, Apartamento na planta à venda, Comprar imóvel novo na planta, Imóvel na planta com financiamento, Comprar casa na planta, Lançamento de apartamentos na planta, Oportunidade de comprar imóvel na planta",BRL,31.10,"155,353","27,361",17.61%,0.18,4831.18,13.07%,"3,575.74",1.35
PAUSED,Festival da Mudança | Compra - Fev/24,pmaxbr_gg_pm_bg_ld_ao_wb_re_vr_pf - old,"O imóvel ideal | Viva Real, Compre sua Casa no Viva Real, Imóveis à venda, Confira imóveis à venda, Casas e Apartamentos à venda, Viva Real, Imóveis com os melhores preços, Sua Casa Própria É Realidade, Compre seu apto ou casa nova","Casas e aptos à venda. Festival da Mudança, a seleção exclusiva dos melhores imóveis., Imóveis com varanda e até com piscina. Tudo o que você precisa está no Viva Real","No Viva Real tem o imóvei certo pra você. Encontre já o seu., Milhares de imóveis, várias faixas de preço. Opções com vaga de garagem e churrasqueira., Procurando um novo lar? Casas e apartamentos à venda na sua cidade. Confira no Viva Real., Filtre por preço e encontre o que você pode pagar. Veja as opções do Festival da Mudança., Acesse o Viva Real. Imóveis à venda com os melhores preços e torne realidade o seu sonho.","https://tpc.googlesyndication.com/simgad/13150784439526999978, https://tpc.googlesyndication.com/simgad/9835193673851486260, https://tpc.googlesyndication.com/simgad/16050798672311718555, https://tpc.googlesyndication.com/simgad/14089853283072771235, https://tpc.googlesyndication.com/simgad/8504316862080249795","https://tpc.googlesyndication.com/simgad/5407966612323691488, https://tpc.googlesyndication.com/simgad/11406687593433523341, https://tpc.googlesyndication.com/simgad/6094326805926000808, https://tpc.googlesyndication.com/simgad/8679500707609181815, https://tpc.googlesyndication.com/simgad/3891160391039660740", --,Poor,Paused,Viva Real | Compra, --,BRL,36.93,"1,220,640","346,200",28.36%,0.13,45081.74,10.80%,"37,401.95",1.21
ENABLED,Mobiliado,pmaxaluguelsa360rjmg_gg_pm_bg_la_ao_wb_re_vr_pf,"Viva Real, Encontre seu lar dos sonhos, Casa decorada é no Viva Real, Mobiliado, pra entrar e morar, Aptos para alugar mobiliado, Seu cantinho dos sonhos, Casas e aptos no Viva Real, Alugue sua casa ideal","Apartamento decorado, pronto pra alugar e morar. Encontre o seu imóvel agora mesmo., Casas e aptos mobiliados disponíveis para aluguel. Imóveis em todo o país.","Pra agilizar a vida na casa nova, tudo mobiliado. Confira., Encontre imóveis para aluguel na sua região. Use o filtro e personalize do seu jeito., Filtre por aluguel, preço máximo e mobiliados. Encontre já o seu novo lar. Confira agora., Imóveis para alugar já decorados. Perfeito para quem busca um cantinho novo., Aluguel de 2 quartos, mobiliado e vaga na garagem. Encontre seu lar dos sonhos.","https://tpc.googlesyndication.com/simgad/1024145633221370658, https://tpc.googlesyndication.com/simgad/17558708511060713842, https://tpc.googlesyndication.com/simgad/5358769708683541299, https://tpc.googlesyndication.com/simgad/7275577367893510312, https://tpc.googlesyndication.com/simgad/17435521161081017532","https://tpc.googlesyndication.com/simgad/3450301016921946366, https://tpc.googlesyndication.com/simgad/13805288227587480873, https://tpc.googlesyndication.com/simgad/11802526788487354590, https://tpc.googlesyndication.com/simgad/16457016917387347847, https://tpc.googlesyndication.com/simgad/9548104475756231205","https://tpc.googlesyndication.com/simgad/16281433289275899764, https://tpc.googlesyndication.com/simgad/14268386735361598947",Average,Not eligible,Viva Real | Aluguel,"Apartamento mobiliado, Imóvel pronto para morar, Aluguel mobiliado, Aluguel com móveis, Casa mobiliada para locação, Locação mobiliada, Apartamento com móveis inclusos, Imóvel completo mobiliado, Aluguel sem necessidade de mobília, Imóvel mobiliado para alugar, Locação com móveis",BRL,40.82,"239,284","55,993",23.40%,0.17,9768.43,27.51%,"15,405.85",0.63
PAUSED,Festival da Mudança | Jul25,pmaxaluguelsa360br_gg_pm_bg_la_ao_wb_re_vr_pf,"Viva Real, Viva Real tem seu próximo lar, Casa nova é no Viva Real, Aluguel é no Viva Real, Festival da Mudança, Melhores imóveis aqui, Aluguel pra todos os bolsos, Casas, Apartamentos e Kitnets, Aluguel de casas e aptos, Oferta de imóveis para alugar, Casa pra alugar com piscina, Festival da Mudança Viva Real, Melhores imóveis no Festival, O Imóvel ideal no Festival, Novo lar no Festival","No Viva Real você encontra o imóvel dos sonhos. Veja suas opções aqui, Quer alugar, sem fiador? O Festival da Mudança do Viva Real tem várias opções., Aqui no Festival você encontra seu novo lar. São milhares de imóveis disponíveis., O endereço dos seus sonhos está aqui no Festival da Mudança. Veja os imóveis disponíveis, O imóvel perfeito para a sua rotina você encontra aqui, no Festival da Mudança.","No Viva Real tem imóveis de todos os tamanhos pra você., À procura do lar dos sonhos? Use nossos filtros e encontre o imóvel perfeito para você., Encontre o lar perfeito para você aqui no Festival da Mudança. Veja os imóveis disponíveis, Só no Festival da Mudança você encontra seu imóvel dos sonhos em poucos cliques., Use nossos filtros e encontre rápido o lar perfeito para você. Veja os imóveis disponíveis","https://tpc.googlesyndication.com/simgad/13169576821845658541, https://tpc.googlesyndication.com/simgad/4199414526808279643, https://tpc.googlesyndication.com/simgad/3410205380329094057, https://tpc.googlesyndication.com/simgad/7399574502778184545, https://tpc.googlesyndication.com/simgad/17842102783356040384, https://tpc.googlesyndication.com/simgad/11473423160516028438","https://tpc.googlesyndication.com/simgad/96935583431009043, https://tpc.googlesyndication.com/simgad/14993466371496414456, https://tpc.googlesyndication.com/simgad/10998474698801576613, https://tpc.googlesyndication.com/simgad/10705581867052157269, https://tpc.googlesyndication.com/simgad/2094408501665285545, https://tpc.googlesyndication.com/simgad/2580175904655561048, https://tpc.googlesyndication.com/simgad/7862381899973992768","https://tpc.googlesyndication.com/simgad/2748442949159619083, https://tpc.googlesyndication.com/simgad/7936014696176566485, https://tpc.googlesyndication.com/simgad/11938665831600561966, https://tpc.googlesyndication.com/simgad/17342982100506451901",Excellent,Paused,Viva Real | Aluguel, --,BRL,39.22,"320,342","60,593",18.92%,0.21,12562.62,26.25%,"15,907.89",0.79
ENABLED,Geral,pmaxcomprasa360sp_gg_pc_bg_lc_ao_wb_re_vr_pf,"Viva Real, Viva Real tem seu próximo lar, Encontre o imóvel ideal, Casas e aptos no Viva Real, Compre aqui o seu novo lar, Comprar Imóveis, O imóvel ideal | Viva Real, Seu novo lar está aqui, Viva o sonho de um novo lar, Conquiste sua casa própria, O imóvel ideal está aqui","No Viva Real você encontra o imóvel dos sonhos. Veja suas opções aqui, Busque no Viva Real. Casas, apartamentos do jeitinho que você quer, na localização ideal.","No Viva Real tem o imóvel certo pra você. Encontre já o seu., Casas, apartamentos e até kitnets na sua região. Escolha agora o seu próximo lar., Procurando um novo lar? Casas e apartamentos à venda na sua cidade. Confira no Viva Real., Veja imóveis no seu bairro. Opções que cabem na sua realidade? Descubra no Viva Real., Aptos com varanda e casas com piscina. Acesse o Viva Real.","https://tpc.googlesyndication.com/simgad/1049991034445285215, https://tpc.googlesyndication.com/simgad/12371575978625135721, https://tpc.googlesyndication.com/simgad/12937442807543016476, https://tpc.googlesyndication.com/simgad/14407412377117727068, https://tpc.googlesyndication.com/simgad/16428909100576394093","https://tpc.googlesyndication.com/simgad/14378425319071332889, https://tpc.googlesyndication.com/simgad/12955411490581505340, https://tpc.googlesyndication.com/simgad/17260273042707847140, https://tpc.googlesyndication.com/simgad/10925276148190891359, https://tpc.googlesyndication.com/simgad/1133890680381761914","https://tpc.googlesyndication.com/simgad/7696776457928613608, https://tpc.googlesyndication.com/simgad/12379935828693184604",Good,Not eligible,Viva Real | Compra | SP,"apartamento na planta, apartamento a venda, casa em condominio, ap na planta, apartamentos mobiliados, apartamento para comprar, casa a venda, imoveis a venda caixa, Comprar Casa, casa para vender, Comprar Apartamento, comprar apto, Comprar Studio",BRL,33.02,"614,427","149,205",24.28%,0.14,20289.75,23.44%,"34,971.40",0.58
