Asset groups report
"May 16, 2025 - September 16, 2026"
Asset group status,Asset Group,Campaign,Headlines,Long Headlines,Descriptions,Marketing Images,Square Marketing Images,Portrait Marketing Images,Ad Strength,Status,Audience signal,Search themes,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
ENABLED,Mobiliado | Jun/23,pmaxaluguelsp_gg_pm_bg_la_ao_wb_re_vr_pf,"Viva Real, Encontre seu lar dos sonhos, Casa decorada é no Viva Real, Mobiliado, pra entrar e morar, Aptos para alugar mobiliado, Seu cantinho dos sonhos, Casas e aptos no Viva Real, Alugue sua casa ideal, Aluguel em SP, Encontre seu Novo Lar em SP, São Paulo e Região, Apartamentos em São Paulo, Alugar em São Paulo, Casas e Apartamentos em SP","Apartamento decorado, pronto pra alugar e morar. Encontre o seu imóvel agora mesmo., Casas e aptos mobiliados disponíveis para aluguel. Imóveis em todo o país.","Pra agilizar a vida na casa nova, tudo mobiliado. Confira., Encontre imóveis para aluguel na sua região. Use o filtro e personalize do seu jeito., Filtre por aluguel, preço máximo e mobiliados. Encontre já o seu novo lar. Confira agora., Imóveis para alugar já decorados. Perfeito para quem busca um cantinho novo., Aluguel de 2 quartos, mobiliado e vaga na garagem. Encontre seu lar dos sonhos.","https://tpc.googlesyndication.com/simgad/11835243450997059067, https://tpc.googlesyndication.com/simgad/1696834942154852355, https://tpc.googlesyndication.com/simgad/9758860744620165238, https://tpc.googlesyndication.com/simgad/11761575736292796343, https://tpc.googlesyndication.com/simgad/6912820031228753823","https://tpc.googlesyndication.com/simgad/14298471851065846385, https://tpc.googlesyndication.com/simgad/16112666395755764401, https://tpc.googlesyndication.com/simgad/14144475983679204777, https://tpc.googlesyndication.com/simgad/5883506304535359781, https://tpc.googlesyndication.com/simgad/8877631470082896145",https://tpc.googlesyndication.com/simgad/13131055466268151809,Good,Eligible,VR - Aluguel SP,"aluguel mobiliado, alugar apartamento mobiliado, aluguel de casa mobiliada, aluguel de apartamento mobiliado, alugar casa mobiliado, aluguel apartametno mobiliado, aluguel casa mobiliado","145,614","34,308",23.56%,BRL,0.37,12778.15,8.47%,"2,905.58",4.40
ENABLED,Varanda | Jun/23,pmaxaluguelsp_gg_pm_bg_la_ao_wb_re_vr_pf,"Viva Real, Viva o seu sonho na vida real, Apê com varanda, Imóvel é no Viva Real, Aptos com varanda para alugar, Viva Real tem o seu novo lar., Aluguel é no Viva Real, Aluguel de Imóveis, Aluguel de casas e aptos, Oferta de imóveis para alugar, Aptos para alugar mobiliado, Apartamentos em São Paulo, Alugar em São Paulo, Casas e Apartamentos em SP, Apartamentos com Varanda","Apartamento com varanda para aproveitar o sol da manhã. Realize esse sonho, "" Os melhores imóveis disponíveis para aluguel. Encontre o imóvel dos seus sonhos aqui""","Encontre seu imóvel com varanda. Acesse o site e descubra., Confira as opções da sua região. Aplique os filtros e encontre a ideal para você., Viva Real tem o seu próximo lar com varada, piscina e muito mais. Confira agora mesmo., Agora é real, alugue o imóvel com varanda que você sempre sonhou., Procurando apto pra alugar? Alugue o imóvel que você sempre sonhou. Aplique os filtros.","https://tpc.googlesyndication.com/simgad/11801383297626871302, https://tpc.googlesyndication.com/simgad/2878497220511256382, https://tpc.googlesyndication.com/simgad/7610468601305989561, https://tpc.googlesyndication.com/simgad/8223264834710724858, https://tpc.googlesyndication.com/simgad/7990899253518403310, https://tpc.googlesyndication.com/simgad/15674627337774361626, https://tpc.googlesyndication.com/simgad/7844066304370201635, https://tpc.googlesyndication.com/simgad/7758661934541668686","https://tpc.googlesyndication.com/simgad/4640074011517675966, https://tpc.googlesyndication.com/simgad/7481578954233308263, https://tpc.googlesyndication.com/simgad/8573518577933159515, https://tpc.googlesyndication.com/simgad/8847611819535043632, https://tpc.googlesyndication.com/simgad/16757086053109497637","https://tpc.googlesyndication.com/simgad/11523667156670466750, https://tpc.googlesyndication.com/simgad/3083475291594148844, https://tpc.googlesyndication.com/simgad/6437335783157519378",Excellent,Eligible,VR - Aluguel SP,"apartamento com varanda, apartamento para alugar com churrasqueira varanda, apartamento para alugar área gourmet, apartamento varanda para alugar","560,664","133,455",23.80%,BRL,0.39,52213.16,8.92%,"11,898.74",4.39
ENABLED,Em Construção | Jun/23,pmaxcomprasp_gg_pm_bg_lc_ao_wb_re_vr_pf,"Viva Real, O seu novo lar no Viva Real, Ficou fácil achar o seu imóvel, Casas e aptos no Viva Real, Casa e Apê no Viva Real, Apto em construção - Viva Real, Imóveis Novos Em SP, Apartamento na Planta, Apartamento em Construção, Apartamentos Novos, Lançamentos em São Paulo, Imóveis Novos em São Paulo, Compre seu Imóvel Novo, Imóveis Novos","Encontre seu lar em construção e compre sua casa nova por um preço que cabe no bolso., Procurando o lar dos sonhos? Pesquisa no Viva Real. Imóveis em todos os estados do Brasil., Procurando por Imóveis na Planta em São Paulo? Encontre no Viva Real, Imóveis Novos, Na Planta ou Em Construção. Encontre Seu Novo Lar no Viva Real.","Os melhores imóveis para todos os tipo de sonhos., Imóveis em construção. Só os mais novinhos, com aquele cheirinho de sonho realizado., Apartamentos e Casas à venda. Aplique os filtros e encontre o lar que você sempre sonhou., Encontre a casa que você sempre sonhou à venda no Viva Real, chegou a hora de realizar., No Viva Real você encontra, imóveis com 3 quartos, 2 banheiros, vaga de garagem e mais.","https://tpc.googlesyndication.com/simgad/1235338847345754862, https://tpc.googlesyndication.com/simgad/12490907098151114402, https://tpc.googlesyndication.com/simgad/1965173019363098281, https://tpc.googlesyndication.com/simgad/2992316204184537276, https://tpc.googlesyndication.com/simgad/11993876867197546840","https://tpc.googlesyndication.com/simgad/14479628687069282948, https://tpc.googlesyndication.com/simgad/9901910829738698926, https://tpc.googlesyndication.com/simgad/15320408018007925438, https://tpc.googlesyndication.com/simgad/8068460285190537321, https://tpc.googlesyndication.com/simgad/8289979744798016674",https://tpc.googlesyndication.com/simgad/348500377395760455,Good,Eligible,VR - Compra SP,"apartamento em construção, comprar apartamento em construção, comprar empreendimento contrução","260,162","51,234",19.69%,BRL,0.29,14966.93,6.19%,"3,170.81",4.72
ENABLED,GAIA | Genérico,pmaxsp_gg_pc_bg_ld_ao_wb_re_vr_pf,"Viva Real: Apartamentos, Viva Real: Imóveis, Viva Real: Casas de Condomínio, Compra e Venda de Imóveis, Casas e Apartamentos Novos, Alugar Imóvel com o Viva Real, Imóveis para Alugar, Todos os Imóveis, Imóveis para Alugar e Comprar, Aluguel e Venda de Imóveis, Viva Real: Imóveis para Todos, Encontre o Imóvel Ideal, Alugue ou Compre seu Imóvel, Encontre Casas e Apartamentos, Aluguel e Compra de Imóveis","Viva Real: Casas e Apartamentos para Alugar ou Comprar em São Paulo, Viva Real: Compra e Venda de Imóveis em São Paulo, Viva Real: A Sua Jornada Imobiliária, Encontre a Casa dos Seus Sonhos Mais Rapidamente, Mais de 5 Milhões de Opções de Imóveis","Encontre casas, apartamentos e muito mais no Viva Real., Viva Real: compre ou alugue o imóvel dos seus sonhos., Viva Real: A sua porta de entrada para encontrar o imóvel perfeito., Encontre casas, apartamentos e mais com filtros personalizados., Mais de 5 milhões de imóveis para alugar e comprar em São Paulo.","https://tpc.googlesyndication.com/simgad/1801452972232016397, https://tpc.googlesyndication.com/simgad/1943139266554721000, https://tpc.googlesyndication.com/simgad/16035991208034132779, https://tpc.googlesyndication.com/simgad/15358879938399717233","https://tpc.googlesyndication.com/simgad/2204553753734723078, https://tpc.googlesyndication.com/simgad/10782418923328077240, https://tpc.googlesyndication.com/simgad/15388738469553198928, https://tpc.googlesyndication.com/simgad/4533334561966131548","https://tpc.googlesyndication.com/simgad/14329750531409371082, https://tpc.googlesyndication.com/simgad/14116737562852490844, https://tpc.googlesyndication.com/simgad/3410876141888740065, https://tpc.googlesyndication.com/simgad/5254952533408093718",Excellent,Eligible,Interesses Gerais,"comprar apartamento, comprar imóvel, comprar casa, imóveis para comprar, imóveis, alugar apartamento, alugar casa, alugar imóvel","684,209","159,367",23.29%,BRL,0.24,37912.15,6.00%,"9,557.65",3.97
ENABLED,Geral | Compra,pmaxsp_gg_pc_bg_ld_ao_wb_re_vr_pf,"Viva Real, Viva Real tem seu próximo lar, Encontre o imóvel ideal, Casas e aptos no Viva Real, Compre aqui o seu novo lar, Comprar Imóveis, O imóvel ideal | Viva Real, Apto na Planta - Viva Real, Viva o sonho de um novo lar., Casas, apartamentos e kitnets, Alugue ou compre agora mesmo, Apartamentos em São Paulo, Casas em São Paulo, Comprar Apartamento em SP, Comprar Casas em SP","No Viva Real você encontra o imóvel dos sonhos. Veja suas opções aqui, Busque no Viva Real. Casas, apartamentos do jeitinho que você quer, na localização ideal., Procurando por uma casa ou apartamento em São Paulo? Encontre no Viva Real, Casa ou Apartamento para Comprar em São Paulo. Confira no Viva Real.","No Viva Real tem o imóvel certo pra você. Encontre já o seu., Casas, apartamentos e até kitnets na sua região. Escolha agora o seu próximo lar., Procurando um novo lar? Casas e apartamentos à venda na sua cidade. Confira no Viva Real., Veja imóveis no seu bairro. Opções que cabem na sua realidade? Descubra no Viva Real., Aptos com varanda e casas com piscina. Acesse o Viva Real.","https://tpc.googlesyndication.com/simgad/8130970840502272381, https://tpc.googlesyndication.com/simgad/3479702983454230614, https://tpc.googlesyndication.com/simgad/1649634980519578377, https://tpc.googlesyndication.com/simgad/13552187367894309526, https://tpc.googlesyndication.com/simgad/13037695900754217990","https://tpc.googlesyndication.com/simgad/9531519101713480398, https://tpc.googlesyndication.com/simgad/2842131328572029619, https://tpc.googlesyndication.com/simgad/11099217439288876902, https://tpc.googlesyndication.com/simgad/14373264325779571777, https://tpc.googlesyndication.com/simgad/11632167895278856213","https://tpc.googlesyndication.com/simgad/11357574820241916091, https://tpc.googlesyndication.com/simgad/4179537368763283624, https://tpc.googlesyndication.com/simgad/9575342084450473715, https://tpc.googlesyndication.com/simgad/13358067090775449184",Excellent,Eligible,Interesses Gerais,"comprar apartamento, apartamento a venda, comprar casa, imóveis para comprar, casa a venda, comprar studio","4,434,308","920,200",20.75%,BRL,0.23,215595.16,6.30%,"57,987.10",3.72
ENABLED,Calculadora,pmaxcomprasp_gg_pm_bg_lc_ao_wb_re_vr_pf,"Viva Real, O seu novo lar está aqui., Imóveis que cabem no seu bolso, Calcule seu financiamento, Imóveis à venda, Casas e aptos no Viva Real, Apto na Planta - Viva Real, Comprar Imóveis, Em busca da casa própria?, Encontre o imóvel ideal, Ficou fácil achar o seu imóvel, Encontre Seu Imóvel em SP, São Paulo, More em São Paulo","Calculadora pra descobrir o valor que vai financia? Faça simulação no Viva Real., Encontre o lar dos seus sonhos, simule o financiamento e veja quanto vai pagar por mês.","Imóveis à venda, com um valor que você pode pagar., O lar que você sonha está aqui. Imóveis com 2, 3 quartos, vaga de garagem e varanda., Calcule o seu orçamento e encontre o imóvel dos seus sonhos com facilidade. Confira., A casa própria é uma realidade. Seu novo lar está aqui, com opções que cabem no seu bolso., Financie seu apto. Busque seu imóvel ideal no Viva Real.","https://tpc.googlesyndication.com/simgad/18031525917393383832, https://tpc.googlesyndication.com/simgad/8514184838571664442, https://tpc.googlesyndication.com/simgad/3902291434395795052, https://tpc.googlesyndication.com/simgad/5641905159236044840, https://tpc.googlesyndication.com/simgad/14027876877439512761, https://tpc.googlesyndication.com/simgad/14049973888824775395, https://tpc.googlesyndication.com/simgad/15498667508269138349, https://tpc.googlesyndication.com/simgad/7758661934541668686","https://tpc.googlesyndication.com/simgad/15864238224332545499, https://tpc.googlesyndication.com/simgad/16501834745796785735, https://tpc.googlesyndication.com/simgad/9788295718259838663, https://tpc.googlesyndication.com/simgad/12429395227108713061, https://tpc.googlesyndication.com/simgad/10787947279937364334, https://tpc.googlesyndication.com/simgad/14648620385071633784, https://tpc.googlesyndication.com/simgad/855152556990294434, https://tpc.googlesyndication.com/simgad/4940847179089000455, https://tpc.googlesyndication.com/simgad/9048124101515262493","https://tpc.googlesyndication.com/simgad/2042844469471235101, https://tpc.googlesyndication.com/simgad/3083475291594148844, https://tpc.googlesyndication.com/simgad/17062545362057171994",Excellent,Eligible,VR - Compra SP, --,"193,538","41,042",21.21%,BRL,0.31,12747.17,4.66%,"1,913.77",6.66
ENABLED,Filtros | Jun/23,pmaxaluguelsp_gg_pm_bg_la_ao_wb_re_vr_pf,"Viva Real, Viva Real tem seu próximo lar, Imóveis que aceitam pets, Alugue sua casa ideal, Casas e aptos no Viva Real, Casa nova é no Viva Real, Casas, Apartamentos e Kitnets, Aluguel de casas e aptos, Encontre seu lar com piscina, Lazer Completo, Apartamentos em São Paulo, Alugar em São Paulo, Casas e Apartamentos em SP","Imóveis que aceitam pets? No Viva Real você encontra opções pra todos os bolsos e gostos., Seu próximo lar já está pronto para receber seu pet. As melhores opções estão aqui.","Aluguel, encontre as melhores opções no Viva Real., Aluguel pra todos os bolsos. Confira ofertas na sua cidade., Quer alugar um apê? Descubra os melhores imóveis no Festival da Mudança do Viva Real., Imóvel para alugar na sua cidade. Opções de 1, 2 ou 3 quartos. Mobiliados e muito mais., O lugar que você quer morar está aqui. Casas e apartamentos que cabem nos seus sonhos.","https://tpc.googlesyndication.com/simgad/7844066304370201635, https://tpc.googlesyndication.com/simgad/15674627337774361626, https://tpc.googlesyndication.com/simgad/7758661934541668686, https://tpc.googlesyndication.com/simgad/10337667943084212756","https://tpc.googlesyndication.com/simgad/15253146668998286957, https://tpc.googlesyndication.com/simgad/11704169275768224779, https://tpc.googlesyndication.com/simgad/8079100285779502884, https://tpc.googlesyndication.com/simgad/16757086053109497637, https://tpc.googlesyndication.com/simgad/9048124101515262493","https://tpc.googlesyndication.com/simgad/3083475291594148844, https://tpc.googlesyndication.com/simgad/17062545362057171994",Excellent,Eligible,VR - Aluguel SP,"apartamento com varanda, apartamento com piscina, apartamento sem fiador, apartamento aceita pet, aluguel perto de mim","69,664","16,814",24.14%,BRL,0.33,5608.58,7.98%,"1,342.21",4.18
ENABLED,Genérico,pmaxgeralbr_gg_pc_bg_ld_ao_wb_re_vr_pf,"Viva Real: Imóveis, Agências Imobiliárias, Imóveis para Venda e Aluguel, Casas Novas e Feitas à Medida, Comprar Alugar, Condomínios e Cooperativas, O seu sonho começa aqui, Tipo de Imóvel, Onde Deseja Morar?, Agentes Imobiliários, Imóveis para todos, Viva Real: O seu novo lar, Viva Real: Encontrar Imóvel","Viva Real - Imóveis para Compra, Venda e Aluguel, Anuncie seu imóvel no Viva Real e encontre o comprador ou inquilino ideal., Casas e Apartamentos para Compra e Aluguel, Viva Real: A Sua Nova Casa ou Apartamento","Viva Real: Imóveis para comprar, vender e alugar., Anuncie seu imóvel no Viva Real e encontre compradores ou inquilinos rapidamente., Com o Viva Real, você encontra casas, apartamentos, condomínios e muito mais., Viva Real: o mercado imobiliário líder no Brasil., Viva Real: A chance de encontrar o imóvel dos seus sonhos começa aqui.","https://tpc.googlesyndication.com/simgad/8672817571150435155, https://tpc.googlesyndication.com/simgad/6962404217267340617, https://tpc.googlesyndication.com/simgad/15716207863791852891, https://tpc.googlesyndication.com/simgad/4417237236525856047, https://tpc.googlesyndication.com/simgad/8658449598818992220, https://tpc.googlesyndication.com/simgad/15392061427213854200, https://tpc.googlesyndication.com/simgad/11993876867197546840","https://tpc.googlesyndication.com/simgad/820337006697494132, https://tpc.googlesyndication.com/simgad/6552256654508571623, https://tpc.googlesyndication.com/simgad/4910475059386961026, https://tpc.googlesyndication.com/simgad/7999553692045861869, https://tpc.googlesyndication.com/simgad/1967402084289209200, https://tpc.googlesyndication.com/simgad/8068460285190537321, https://tpc.googlesyndication.com/simgad/12429395227108713061, https://tpc.googlesyndication.com/simgad/16501834745796785735, https://tpc.googlesyndication.com/simgad/9901910829738698926, https://tpc.googlesyndication.com/simgad/9788295718259838663, https://tpc.googlesyndication.com/simgad/14479628687069282948","https://tpc.googlesyndication.com/simgad/12469910875849344779, https://tpc.googlesyndication.com/simgad/348500377395760455",Average,Not eligible,Interesses Gerais, --,"260,447","40,404",15.51%,BRL,0.21,8487.99,11.14%,"4,500.51",1.89
ENABLED,Na Planta | Jun/23,pmaxcomprasp_gg_pm_bg_lc_ao_wb_re_vr_pf,"Viva Real, Encontre o lar dos sonhos, Imóveis na planta, Em busca da casa própria?, Casas e aptos dos sonhos, Apto na Planta - Viva Real, Imóveis na Planta, Apartamento na Planta em SP, Apartamentos Novos - São Paulo, Imóvel Na Planta, Compre Seu Apto Novo em SP, Apartamentos em São Paulo, Apartamentos na Planta, Compre Seu Imóvel Novo","Procurando o apê dos sonhos na planta? Encontre agora. Acesse o site ou Baixe o App, Diga adeus ao aluguel e encontre o imóvel que você sempre sonhou na planta.","No Viva Real, temos o imóvel que combina com seus sonhos., Casas, aptos, kitnets e outros imóveis na localização ideal pra você. Acesse o Viva Real., Casa própria? Temos. Lançamentos de imóveis que cabem no seu bolso., Para todos os tipos de sonhos, temos um imóvel na planta que cabe no seu bolso., Imóveis ainda na planta no seu bairro preferido. Faça sua busca, pesquise no Viva Real.","https://tpc.googlesyndication.com/simgad/15392061427213854200, https://tpc.googlesyndication.com/simgad/8658449598818992220, https://tpc.googlesyndication.com/simgad/5720568833850228333, https://tpc.googlesyndication.com/simgad/4417237236525856047, https://tpc.googlesyndication.com/simgad/7410021827857781550","https://tpc.googlesyndication.com/simgad/11341085278114896480, https://tpc.googlesyndication.com/simgad/8354909716372381635, https://tpc.googlesyndication.com/simgad/17574219783566631670, https://tpc.googlesyndication.com/simgad/11417881279350708555, https://tpc.googlesyndication.com/simgad/17682703550965084121",https://tpc.googlesyndication.com/simgad/12469910875849344779,Good,Eligible,VR - Compra SP,"apartamento na planta, comprar apartamento na planta, apartamento lançamento, apartamento na planta para comprar","633,056","131,620",20.79%,BRL,0.28,37076.50,6.17%,"8,115.38",4.57
ENABLED,Geral | Aluguel,pmaxsp_gg_pc_bg_ld_ao_wb_re_vr_pf,"Viva Real, Viva Real tem seu próximo lar, Casa nova é no Viva Real, Alugue sua casa ideal, Casas e aptos no Viva Real, Aptos para alugar mobiliado, Viva o seu sonho na vida real, Imóveis que aceitam pets, Aluguel de casas e aptos, Alugue uma Casa no Brasil, Aluguel de Apartamentos, Alugue em São Paulo, Apartamentos em São Paulo, Casas em São Paulo, Casas e Aptos para Alugar","No Viva Real você encontra o imóvel dos sonhos. Veja suas opções aqui, Busque no Viva Real. Casas, apartamentos do jeitinho que você quer, na localização ideal., Procurando por uma casa ou apartamento em São Paulo? Encontre no Viva Real, Casa ou Apartamento para Alugar em São Paulo. Confira no Viva Real.","No Viva Real tem imóveis de todos os tamanhos pra você., Casas, apartamentos e até kitnets na sua região. Escolha agora o seu próximo lar., Imóveis para toda família. Veja as melhores opções no Viva Real., Procurando um cantinho novo pra morar? Encontre o que imóvel que precisa no Viva Real., O Viva Real tem a casa nova que você sempre sonhou. Alugue agora mesmo.","https://tpc.googlesyndication.com/simgad/13037695900754217990, https://tpc.googlesyndication.com/simgad/13552187367894309526, https://tpc.googlesyndication.com/simgad/1649634980519578377, https://tpc.googlesyndication.com/simgad/3479702983454230614, https://tpc.googlesyndication.com/simgad/8130970840502272381, https://tpc.googlesyndication.com/simgad/10201395195534624158","https://tpc.googlesyndication.com/simgad/14373264325779571777, https://tpc.googlesyndication.com/simgad/11632167895278856213, https://tpc.googlesyndication.com/simgad/11099217439288876902, https://tpc.googlesyndication.com/simgad/4869971110675245623, https://tpc.googlesyndication.com/simgad/2842131328572029619, https://tpc.googlesyndication.com/simgad/6552256654508571623, https://tpc.googlesyndication.com/simgad/4910475059386961026, https://tpc.googlesyndication.com/simgad/6345461075905881101, https://tpc.googlesyndication.com/simgad/7999553692045861869","https://tpc.googlesyndication.com/simgad/9575342084450473715, https://tpc.googlesyndication.com/simgad/13358067090775449184",Excellent,Eligible,Interesses Gerais,"alugar apartamento, apartamento para alugar, aluguel, imóveis para alugar, aluguel de casa, alugar kitnet, alugar flat","1,517,920","414,376",27.30%,BRL,0.29,119501.26,7.78%,"32,233.97",3.71
ENABLED,Filtros | Jun/23,pmaxcomprasp_gg_pm_bg_lc_ao_wb_re_vr_pf,"Viva Real, Viva Real tem seu próximo lar, Milhares de Imóveis, Casas e aptos no Viva Real, Compre aqui o seu novo lar, Casas e Apartamentos à venda, O imóvel ideal | Viva Real, Viva o sonho de um novo lar., Oferta de imóveis à venda, Casa e Apê no Viva Real, Casas e Apartamentos em SP, Compre seu Apto em São Paulo, Encontre seu Imóvel Aqui, Apartamentos em São Paulo, Apartamentos e Casas à Venda","Imóveis que aceitam pets? No Viva Real você encontra opções pra todos os bolsos e gostos., Imóveis com varanda, mobiliados e com piscina. Tudo o que você precisa está no Viva Real","No Viva Real tem o imóvei certo pra você. Encontre já o seu., Escolha seu imóvel agora. Descubra opções na sua região, para compra ou aluguel., Procurando um novo lar? Casas e apartamentos à venda na sua cidade. Confira no Viva Real., Veja imóveis no seu bairro. Opções que cabem na sua realidade? Descubra no Viva Real., Aptos com varanda e casas com piscina. Acesse o Viva Real.","https://tpc.googlesyndication.com/simgad/7844066304370201635, https://tpc.googlesyndication.com/simgad/15674627337774361626, https://tpc.googlesyndication.com/simgad/12184111103630439601, https://tpc.googlesyndication.com/simgad/17773094270333755692, https://tpc.googlesyndication.com/simgad/14049973888824775395","https://tpc.googlesyndication.com/simgad/11704169275768224779, https://tpc.googlesyndication.com/simgad/15253146668998286957, https://tpc.googlesyndication.com/simgad/8079100285779502884, https://tpc.googlesyndication.com/simgad/16757086053109497637, https://tpc.googlesyndication.com/simgad/9048124101515262493, https://tpc.googlesyndication.com/simgad/954479529528102993, https://tpc.googlesyndication.com/simgad/14648620385071633784","https://tpc.googlesyndication.com/simgad/3083475291594148844, https://tpc.googlesyndication.com/simgad/10488040139047507133, https://tpc.googlesyndication.com/simgad/17062545362057171994, https://tpc.googlesyndication.com/simgad/6437335783157519378",Excellent,Eligible,VR - Compra SP,"apartamento com varanda, apartamento com 2 quartos, apartamento perto de mim, comprar apartamento com 2 quartos, apartamento com vagas, comprar apartamento perto do metrô","890,277","188,399",21.16%,BRL,0.27,50582.99,5.26%,"9,917.20",5.10
ENABLED,Pronto pra Morar | Jun/23,pmaxcomprasp_gg_pm_bg_lc_ao_wb_re_vr_pf,"Viva Real, O seu novo lar no Viva Real, Imóveis prontos pra morar, Encontre o seu novo lar, Casas e aptos em lançamento, Comprar Imóveis, O imóvel ideal | Viva Real, Viva o sonho de um novo lar., Casas e Apartamentos à venda, Ficou fácil achar o seu imóvel, Encontre o imóvel ideal, Lançamentos em São Paulo, Procurando Imóvel em SP?, Apto Pronto para Morar, Imóvel Novo em São Paulo","Imóveis com o preço que você busca e na localização que você quer. Encontre seu novo lar., Casas e aptos à venda prontinhos pra morar. Encontre agora o imóvel dos seus sonhos.","Encontre o seu cantinho, pronto para morar. Confira, Viva Real tem opções à venda na sua região. Apartamentos de 3 quartos, varanda e mais., Seu cantinho dos sonhos pronto para morar. Veja as opções que cabe no seu bolso., Imóveis na localização que você quer morar. Lançamentos com piscina, mobiliados e mais., Acesse o VIva Real. Escolha onde deseja morar e o valor que quer pagar. Encontre agora.","https://tpc.googlesyndication.com/simgad/8672817571150435155, https://tpc.googlesyndication.com/simgad/1572218330886492619, https://tpc.googlesyndication.com/simgad/10201395195534624158, https://tpc.googlesyndication.com/simgad/15716207863791852891, https://tpc.googlesyndication.com/simgad/6962404217267340617","https://tpc.googlesyndication.com/simgad/7999553692045861869, https://tpc.googlesyndication.com/simgad/4910475059386961026, https://tpc.googlesyndication.com/simgad/1967402084289209200, https://tpc.googlesyndication.com/simgad/820337006697494132, https://tpc.googlesyndication.com/simgad/6552256654508571623",https://tpc.googlesyndication.com/simgad/13358067090775449184,Good,Eligible,VR - Compra SP,"apartamento novo pronto para morar, apartamento na planta pronto para morar, comprar apartamento novo entrega imediata","1,270,860","233,867",18.40%,BRL,0.30,71057.40,6.10%,"14,265.39",4.98
ENABLED,Aceita Pets | Jun/23,pmaxaluguelsp_gg_pm_bg_la_ao_wb_re_vr_pf,"Viva Real, Viva o imóvel dos sonhos., Seu cantinho no Viva Real, Aluguel é no Viva Real, Imóvel que aceita pets, Alugue seu novo lar, Apartamento para Alugar, Apartamento que Aceita Seu Pet, Apartamentos para Alugar em SP, São Paulo e Região, Apartamentos em São Paulo, Alugar em São Paulo, Casas e Apartamentos em SP","Quer alugar uma casa, apto ou kitnet, que aceita o seu pet? O seu cantinho está aqui., Imóveis do jeito que você sonha. Tudo o que você precisa está no VIva Real.","Encontre o lar ideal para você e seu pet., Confira casas, aptos, kitnets e outros imóveis que aceitam seu animal de estimação., Precisando de um novo lar? Encontre seu novo cantinho no Viva Real. Acesse ou Baixe o app., Filtre por aceita pet e selecione a opção de aluguel ideal. Os melhores preços estão aqui., Imóveis no seu bairro preferido, do jeitinho que você sonha. Faça sua busca agora.","https://tpc.googlesyndication.com/simgad/339052593107990704, https://tpc.googlesyndication.com/simgad/1449806044107610741, https://tpc.googlesyndication.com/simgad/8355174043521050030, https://tpc.googlesyndication.com/simgad/15498667508269138349","https://tpc.googlesyndication.com/simgad/6199469656591220721, https://tpc.googlesyndication.com/simgad/4940847179089000455, https://tpc.googlesyndication.com/simgad/16792567466162530574, https://tpc.googlesyndication.com/simgad/855152556990294434",https://tpc.googlesyndication.com/simgad/17114843096982446451,Good,Eligible,VR - Aluguel SP,"apartamento que aceita pet, casa para alugar aceita animais, apartamento para alugar com pet, apartamento que aceita animais, apartamento para alugar aceita animais","1,254,345","303,364",24.19%,BRL,0.37,111102.84,8.79%,"26,679.74",4.16
ENABLED,Piscina | Jun/23,pmaxaluguelsp_gg_pm_bg_la_ao_wb_re_vr_pf,"Viva Real, Seu novo lar no Viva Real., Casa pra alugar com piscina, Encontre seu lar com piscina, Aluguel de casas e aptos, Viva Real tem o seu novo lar., Alugue sua casa com piscina, Aptos para alugar com piscina, Imóveis em SP e Região, Acesse e Confira, Apartamento com Piscina, Apartamentos em São Paulo, Alugar em São Paulo, Casas e Apartamentos em SP, Condomínio com Lazer Completo","Imóveis dos sonhos com piscina e no preço que você buscar. Confira agora mesmo., Casas e aptos disponíveis para aluguel. Imóveis em todo o país. Encontre seu novo lar","No Viva Real você encontra o seu novo imóvel com piscina., Aluguel em condomínio com área de lazer? Aplique os filtros e torne o seu sonho real., Imóveis com 2 ou 3 quartos, piscina e do jeito que você sonha, pelo preço ideal., Descubra as melhores opções de aluguel com facilidades e espaços de bem-estar. É real, Quer alugar o apê dos sonho? Confira no Viva Real aptos em condomínios com piscina.","https://tpc.googlesyndication.com/simgad/5823268999402223190, https://tpc.googlesyndication.com/simgad/8300037958308550923, https://tpc.googlesyndication.com/simgad/17773094270333755692, https://tpc.googlesyndication.com/simgad/14049973888824775395","https://tpc.googlesyndication.com/simgad/10258226903714381612, https://tpc.googlesyndication.com/simgad/14648620385071633784, https://tpc.googlesyndication.com/simgad/13283860722073893048, https://tpc.googlesyndication.com/simgad/954479529528102993",https://tpc.googlesyndication.com/simgad/5958095822642073354,Good,Eligible,VR - Aluguel SP,"apartamento com piscina, apartamento lazer completo, apto para alugar com piscina, apartamento para alugar com piscina no condomínio","968,343","205,126",21.18%,BRL,0.39,79545.12,9.17%,"18,808.58",4.23
Total: Unsupported entities,,,,,,,,,,,,,"22,592,740","5,362,531",23.74%,BRL,0.26,1395585.09,6.39%,"342,919.05",4.07
Total: Account,,,,,,,,,,,,,"22,592,740","5,362,531",23.74%,BRL,0.26,1395585.09,6.39%,"342,919.05",4.07
