Ad report
"October 1, 2016 - September 16, 2026"
Ad status,Final URL,Beacon URLs,Headline,Long headline 1,Long headline 2,Long headline 3,Long headline 4,Long headline 5,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Description 1,Description 2,Description 3,Description 4,Description 5,Image ID,Logo ID,Business name,Call to action text,Call to action text 1,Call to action text 2,Call to action text 3,Call to action text 4,Call to action text 5,Call to action headline,Video ID,Companion banner,Ad name,ad.display_url,Path 1,Path 2,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Ad group,Status,Status reasons,Ad type,Currency code,TrueView avg. CPV,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Video,Conv. rate,Conversions,Cost / conv.
Enabled,http://play.google.com/store/apps/details?id=com.project.vivareal, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,9632092977, --,Conheça o App do VivaReal,play.google.com, --, --,,{lpurl}, --,,YT - In-Stream - POI - App Installs - Wi-fi,In-Stream - Segmentação Palavras Chave Relacionadas,Not eligible,disapproved; ad group paused; campaign paused,Skippable in-stream ad,BRL,0,0,0, --,0,0.00, --,0.00%,0.00,0.00
Enabled,http://play.google.com/store/apps/details?id=com.project.vivareal, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,9632092977, --,Conheça o App do VivaReal,play.google.com, --, --,,{lpurl}, --,,YT - In-Stream - POI - App Installs - Wi-fi,In-Stream - Segmentação Listas de Remarketing,Not eligible,disapproved; campaign paused,Skippable in-stream ad,BRL,0,0,0, --,0,0.00, --,0.00%,0.00,0.00
Enabled,http://play.google.com/store/apps/details?id=com.project.vivareal, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,9632092977, --,Conheça o App do VivaReal,play.google.com, --, --,,{lpurl}, --,,YT - In-Stream - POI - App Installs - Wi-fi,In-Stream - Segmentação Outros Canais,Not eligible,disapproved; campaign paused,Skippable in-stream ad,BRL,0,0,0, --,0,0.00, --,0.00%,0.00,0.00
Enabled,http://play.google.com/store/apps/details?id=com.project.vivareal, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,9632092977, --,Conheça o App do VivaReal,play.google.com, --, --,,{lpurl}, --,,YT - In-Stream - POI - App Installs - Wi-fi,In-Stream - Segmentação Customer Match 3 meses (Todos Leads),Not eligible,disapproved; campaign paused,Skippable in-stream ad,BRL,0,0,0, --,0,0.00, --,0.00%,0.00,0.00
Enabled,, --, --, --, --, --, --, --,Alugue e Compre pelo App.,Filtre a melhor opção já., --, --, --,Encontre no Mapa com GPS,Maior Portal de Imóveis!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,UAC - RJ,Ad group 1,Not eligible,campaign paused,Mobile app installs ad v2,BRL,0.02,"1,988,483","54,983",2.77%,0.24,13405.59, --,22.56%,"12,404.00",1.08
Enabled,http://play.google.com/store/apps/details?id=com.project.vivareal, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,9632092977, --,Conheça o App do VivaReal,play.google.com, --, --,,{lpurl}, --,,YT - In-Stream - POI - App Installs - Wi-fi,In-Stream - Segmentação Interesse em Imóveis,Not eligible,disapproved; ad group paused; campaign paused,Skippable in-stream ad,BRL,0,0,0, --,0,0.00, --,0.00%,0.00,0.00
Enabled,, --, --, --, --, --, --, --,Alugue e Compre pelo App.,Encontre Imóveis em MG., --, --, --,Encontre no Mapa com GPS,Maior Portal de Imóveis!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,UAC - Minas Gerais,Ad group 1,Not eligible,campaign paused,Mobile app installs ad v2,BRL,0,"3,078,368","86,504",2.81%,0.16,13750.28, --,13.42%,"11,606.00",1.18
Enabled,, --, --, --, --, --, --, --,VivaPro - Corretor,O App Imobiliário., --, --, --,Mais Negócios para Você.,Faça Agora o Download!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,Google Upgraded - Universal App Campaign #1,Ad group 1,Not eligible,under review; campaign paused,Mobile app installs ad v2,BRL,0,0,0, --,0,0.00, --,0.00%,0.00,0.00
Enabled,http://play.google.com/store/apps/details?id=com.project.vivareal, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,13934364181, --,Customer Match email_2016_10_08_TO_2016_11_08,play.google.com, --, --,,{lpurl}, --,,YT - Black Friday - Installs - Assuntos e Interesses em Imóveis,Interesse em Imóveis,Not eligible,disapproved; campaign paused,Skippable in-stream ad,BRL,0,0,0, --,0,0.00, --,0.00%,0.00,0.00
Enabled,http://play.google.com/store/apps/details?id=com.project.vivareal, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,13934364181, --,Anúncio Tópicos,play.google.com, --, --,,{lpurl}, --,,YT - Black Friday - Installs - Assuntos e Interesses em Imóveis,Assuntos Imobiliários,Not eligible,disapproved; campaign paused,Skippable in-stream ad,BRL,0,0,0, --,0,0.00, --,0.00%,0.00,0.00
Enabled,, --, --, --, --, --, --, --,Compre ou Alugue,Imóveis na palma da sua mão,Mais de 6 milhões de imóveis!, --, --,Agora procurar seu novo lar ficou muito mais fácil!, --, --, --, --,7833249766, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,App engajamento - Android,Ad group 1,Not eligible,approved labeled; campaign paused,Mobile app installs ad v2,BRL,0.03,333,31,9.31%,0.03,0.82, --,6.45%,2.00,0.41
Enabled,http://play.google.com/store/apps/details?id=com.project.vivareal, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,9632092977, --,Conheça o App do VivaReal,play.google.com, --, --,,{lpurl}, --,,YT - In-Stream - POI - App Installs - Wi-fi,In-Stream - Segmentação Customer Match 30d,Not eligible,disapproved; ad group paused; campaign paused,Skippable in-stream ad,BRL,0,0,0, --,0,0.00, --,0.00%,0.00,0.00
Enabled,http://play.google.com/store/apps/details?id=com.project.vivareal, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,9632092977, --,Conheça o App do VivaReal,play.google.com, --, --,,{lpurl}, --,,YT - In-Stream - POI - App Installs - Wi-fi,In-Stream - Segmentação Assunto de Imóveis,Not eligible,disapproved; ad group paused; campaign paused,Skippable in-stream ad,BRL,0,0,0, --,0,0.00, --,0.00%,0.00,0.00
Enabled,, --, --, --, --, --, --, --,Imóveis na palma da sua mão,Compre ou Alugue, --, --, --,Mais de 6 milhões de imóveis,Agora procurar seu novo lar ficou muito mais fácil. Confira, --, --, --,7833249766, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --,,App Instalação - Android,App VR - Instalação - Android,Not eligible,campaign paused,Mobile app installs ad v2,BRL,0,"399,988,418","8,668,405",2.17%,0.11,941280.72, --,9.79%,"848,237.00",1.11
Enabled,, --, --, --, --, --, --, --,Encontre o Seu Imóvel Agora,Viva Real para Vender e Alugar,Seu Imóvel na palma da mão,Compra e Aluguel,Viva Real,Casas e Aptos para Alugar e à Venda Rápido e Fácil no Seu Smartphone,Favorite os melhores imóveis.,Encontre o imóvel dos seus sonhos.,O Imóvel dos seus sonhos está aqui.,Encontre seu imóvel pela região de interesse utilizando a busca pelo mapa.,18250517869; 18250517872; 18250517878; 18250517881; 18250517884, --, --, --, --, --, --, --, --, --,9632092977, --, --, --, --, --,, --, --,,App Install - Android,App_Install,Not eligible,approved labeled; campaign paused,Mobile app installs ad v2,BRL,0.03,"26,655,668","1,299,048",4.87%,0.32,418402.46, --,44.97%,"584,210.00",0.72
Total: All but removed ads,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --, --, --, --, --,, --,BRL,0.03,"437,084,172","10,327,756",2.36%,0.14,1449273.28, --,14.63%,"1,511,250.00",0.96
Total: Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRL,0.03,"437,874,484","10,521,987",2.40%,0.14,1487914.24,,14.89%,"1,567,053.00",0.95
Total: App,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRL,0.03,"437,077,677","10,324,349",2.36%,0.14,1449161.14,,14.64%,"1,511,250.00",0.96
Total: Display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRL,0,0,0, --,0,0.00,,0.00%,0.00,0.00
Total: Video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRL,0.04,"425,514","162,610",38.21%,0.04,5716.55,,4.85%,"7,894.00",0.72
